A1,B8196,C3566
A3231,B8550,C4233
A3232,B369,C4626
A3233,B707,C4411
A3233,B7464,C6854
A3235,B6072,C4496
A3236,B499,C5530
A3236,B6668,C2369
A3236,B8109,C3601
A3238,B328,C2386
A3238,B4780,C201
A3239,B3765,C2081
A324,B384,C610
A324,B4231,C1597
A324,B6981,C8703
A3240,B5988,C6527
A3241,B230,C2835
A3242,B860,C721
A3243,B3956,C6249
A3243,B4392,C9049
A3244,B3275,C3194
A3244,B4291,C2567
A3244,B9451,C1021
A3245,B5338,C5197
A3247,B1565,C6218
A3249,B4752,C7421
A3249,B7540,C3634
A325,B3383,C7725
A325,B5125,C1038
A3250,B6433,C2604
A3251,B1534,C4598
A3251,B5376,C7860
A3253,B4212,C1984
A3255,B8402,C1858
A3256,B4899,C4575
A3256,B5119,C280
A3257,B9900,C1453
A3259,B4744,C7608
A3259,B727,C915
A3259,B8410,C2312
A326,B9229,C1052
A3260,B7243,C945
A3263,B2602,C6930
A3267,B577,C1403
A3267,B5917,C2691
A3267,B7283,C8701
A3268,B5909,C8881
A327,B6398,C1626
A327,B7141,C9376
A3272,B4267,C2120
A3272,B9898,C592
A3274,B1541,C5325
A3274,B2750,C1003
A3274,B555,C3990
A3275,B4233,C3311
A3275,B5412,C4818
A3276,B4126,C8802
A3276,B537,C7638
A3277,B5089,C7268
A3277,B9004,C9943
A3279,B9822,C1465
A328,B4435,C2759
A328,B874,C5241
A3281,B7545,C8635
A3281,B8177,C3953
A3282,B3866,C1706
A3284,B5067,C9374
A3286,B5345,C9885
A329,B2038,C1123
A329,B2066,C7364
A329,B893,C2389
A3290,B9259,C8036
A3291,B129,C7126
A3291,B8533,C8351
A3292,B3790,C473
A3293,B7054,C7427
A3293,B9278,C5666
A3294,B1739,C3581
A3296,B4790,C7320
A3296,B829,C8587
A3299,B8282,C4436
A3299,B8784,C2195
A33,B3032,C3297
A33,B3505,C4439
A33,B6762,C7790
A33,B877,C246
A3300,B9754,C6390
A3301,B3949,C7747
A3301,B6527,C8193
A3303,B6892,C4972
A3305,B6619,C8292
A3306,B3139,C6368
A3306,B4245,C6355
A3307,B2905,C1225
A3307,B5509,C6980
A3313,B9120,C2009
A3314,B4559,C9211
A3315,B7110,C5847
A3316,B2830,C722
A3317,B217,C799
A3319,B7841,C7352
A332,B4050,C1174
A332,B4802,C4550
A3320,B244,C7898
A3320,B8710,C464
A3320,B9732,C9942
A3321,B1655,C8835
A3321,B3335,C6757
A3322,B1793,C4859
A3322,B2477,C9118
A3322,B4798,C2399
A3323,B8800,C4170
A3323,B9118,C5894
A3324,B9304,C6031
A3325,B9162,C4860
A3326,B3809,C8924
A3326,B4132,C2890
A3326,B6249,C5235
A3326,B6883,C3290
A3327,B226,C8115
A3327,B8384,C4203
A3328,B1347,C4631
A3328,B1372,C9320
A3329,B3068,C7453
A333,B1203,C7864
A333,B7236,C3854
A3331,B2662,C2496
A3331,B3740,C7295
A3332,B8760,C1274
A3333,B861,C2554
A3333,B923,C110
A3335,B7531,C4179
A3338,B4958,C8233
A3340,B2164,C9008
A3340,B8637,C7063
A3341,B7590,C5272
A3343,B6371,C8947
A3344,B5665,C690
A3349,B7122,C7638
A335,B5546,C4465
A3354,B6166,C4425
A3355,B2627,C1774
A3355,B9971,C789
A3356,B6778,C2335
A3358,B8147,C6874
A336,B4727,C2234
A336,B8293,C5582
A3360,B7550,C6198
A3362,B5299,C3302
A3362,B5728,C6712
A3366,B1587,C3193
A3367,B7445,C4224
A3369,B6402,C9511
A3369,B7728,C5473
A337,B3364,C559
A3371,B562,C3467
A3371,B9312,C827
A3373,B2533,C3875
A3373,B6786,C3085
A3373,B7511,C8091
A3376,B3665,C7285
A3377,B2504,C479
A3378,B7405,C5875
A3379,B1801,C9704
A3381,B389,C1485
A3381,B7579,C9910
A3381,B8264,C1678
A3381,B857,C1845
A3382,B4456,C8852
A3382,B9339,C8288
A3383,B6442,C6034
A3383,B8918,C1206
A3385,B1227,C5550
A3386,B3366,C3100
A3386,B4373,C5152
A3386,B469,C3477
A3387,B8750,C7298
A3388,B686,C562
A339,B6175,C8029
A339,B8638,C26
A3390,B4544,C9898
A3390,B8061,C5415
A3391,B9899,C7848
A3392,B2909,C7381
A3392,B6076,C1975
A3393,B8060,C7813
A3394,B1989,C3345
A3394,B3102,C913
A3394,B4716,C3483
A3394,B6140,C522
A3395,B7619,C890
A3396,B8353,C746
A3398,B5560,C9060
A3398,B5839,C9889
A3399,B2489,C1009
A340,B3128,C8898
A340,B3524,C2581
A340,B4101,C9875
A3400,B8400,C4282
A3401,B5200,C4917
A3402,B6884,C3659
A3402,B9671,C7808
A3403,B6412,C7839
A3405,B7322,C9190
A3406,B1097,C9026
A3406,B826,C8518
A3408,B8006,C2607
A3409,B121,C844
A3409,B7249,C7196
A3410,B1646,C2581
A3411,B152,C2465
A3412,B3031,C4455
A3416,B6528,C8823
A3417,B1037,C9728
A3417,B8788,C2488
A3418,B610,C5484
A3419,B2981,C9380
A3422,B6899,C660
A3424,B1160,C482
A3428,B237,C2531
A3428,B5925,C4300
A3430,B5903,C3162
A3430,B8280,C3987
A3431,B2514,C2105
A3431,B9277,C8227
A3432,B5959,C5790
A3433,B7444,C5212
A3434,B8248,C6893
A3435,B2246,C6626
A3435,B9681,C4462
A3437,B5650,C1767
A3437,B7128,C1471
A3438,B4914,C8678
A344,B643,C6404
A344,B6839,C309
A3440,B4530,C1651
A3442,B2941,C7135
A3442,B6358,C5477
A3442,B8060,C7818
A3443,B2955,C64
A3443,B7770,C1912
A3445,B2962,C8748
A3446,B2075,C7282
A3446,B2558,C9592
A3448,B6017,C2737
A3448,B7355,C9393
A3449,B1417,C4342
A3449,B8505,C6099
A345,B1800,C5607
A345,B5027,C6717
A3451,B2757,C9194
A3452,B7100,C3276
A3453,B4403,C9804
A3455,B7923,C9445
A3456,B1895,C1517
A3457,B5563,C3194
A3457,B6598,C3286
A3457,B6951,C5940
A3458,B7249,C7179
A346,B6104,C8217
A3461,B118,C2531
A3461,B3098,C6100
A3461,B8643,C9157
A3462,B2043,C3477
A3463,B5988,C380
A3465,B3986,C7416
A3466,B5177,C5665
A3469,B4122,C2325
A347,B402,C1501
A347,B9045,C4892
A3471,B2541,C9014
A3471,B2944,C7368
A3471,B4041,C7872
A3471,B7161,C2679
A3472,B6533,C8070
A3473,B6340,C1710
A3473,B979,C8173
A3475,B4725,C941
A3475,B6837,C4828
A3479,B439,C6952
A348,B4346,C3224
A348,B7817,C4988
A3480,B7520,C2912
A3481,B9189,C9976
A3482,B6623,C240
A3484,B4274,C4142
A3486,B2948,C787
A3488,B4956,C3120
A3488,B9954,C7023
A3489,B4527,C2252
A3489,B9442,C5060
A349,B1820,C4912
A349,B3809,C1354
A349,B3849,C4918
A349,B5865,C6273
A349,B5894,C9331
A349,B7349,C3095
A3490,B1306,C1270
A3490,B1802,C6581
A3490,B665,C7824
A3492,B2760,C9169
A3497,B3778,C1567
A3498,B6286,C2284
A3499,B86,C4557
A35,B9888,C3887
A350,B6900,C9122
A350,B8768,C6356
A3500,B8836,C598
A3501,B3029,C3704
A3502,B2106,C9343
A3503,B2154,C824
A3504,B1003,C310
A3505,B574,C5925
A3505,B6502,C8285
A3506,B4539,C1173
A3507,B7977,C1870
A3508,B2862,C3322
A351,B6921,C7508
A351,B9177,C9806
A351,B9521,C6044
A3510,B7953,C1858
A3510,B8346,C3961
A3511,B7317,C8048
A3511,B8664,C2026
A3512,B9610,C1799
A3513,B147,C2543
A3514,B3113,C3687
A3514,B5385,C3357
A3514,B8678,C8289
A3515,B3236,C2602
A3515,B6356,C1830
A3517,B2364,C1747
A3518,B6813,C3648
A3518,B9105,C4957
A3519,B2205,C9107
A3519,B3577,C6267
A3519,B8977,C496
A3522,B7893,C7125
A3523,B4697,C5905
A3524,B4444,C9158
A3524,B5849,C7759
A3525,B8805,C1042
A3527,B4085,C8632
A3527,B47,C7168
A3527,B712,C2798
A3529,B4909,C8929
A3529,B8237,C6056
A3530,B6241,C8357
A3530,B8754,C9405
A3531,B2933,C219
A3531,B9317,C9064
A3532,B5537,C3237
A3534,B4549,C4765
A3534,B6002,C1969
A3535,B83,C3127
A3537,B7615,C8560
A3538,B6910,C7033
A3539,B4457,C4723
A3540,B4441,C506
A3540,B47,C1835
A3540,B5076,C3066
A3544,B2026,C5178
A3545,B5307,C4495
A3546,B5352,C7741
A3546,B7878,C7115
A3547,B1975,C8442
A3548,B949,C3492
A3550,B1613,C2634
A3552,B4350,C7321
A3552,B9380,C6937
A3553,B3674,C2115
A3553,B6432,C9134
A3556,B4575,C6682
A3556,B9279,C4554
A3558,B7641,C1997
A3559,B2812,C8260
A3561,B2955,C6935
A3561,B297,C496
A3561,B3232,C1083
A3562,B7309,C4774
A3563,B2346,C1210
A3564,B4534,C8731
A3564,B4991,C2184
A3564,B617,C7228
A3564,B7257,C2883
A3567,B7539,C4132
A3569,B1913,C7281
A357,B3351,C8916
A3574,B1495,C9011
A3574,B6835,C5094
A3574,B6913,C9783
A3576,B1056,C3485
A3576,B6862,C2887
A3577,B4059,C2442
A3577,B8348,C5199
A3579,B3129,C1963
A3582,B4184,C8459
A3582,B5906,C4843
A3584,B8628,C9854
A3585,B1730,C8888
A3586,B5531,C7980
A3587,B190,C6190
A3587,B7117,C7547
A3588,B1381,C9114
A3588,B9348,C1381
A359,B1865,C6448
A3591,B3166,C386
A3591,B4243,C5902
A3591,B5584,C5908
A3593,B3777,C4250
A3593,B4276,C6547
A3593,B5293,C5057
A3593,B7573,C8650
A3596,B9842,C4865
A3597,B5838,C6095
A3597,B8492,C7687
A3599,B2945,C59
A36,B7883,C5626
A360,B4854,C5718
A360,B5096,C3472
A360,B868,C7306
A3601,B6153,C9717
A3602,B7815,C240
A3603,B2219,C5946
A3603,B7967,C2223
A3605,B6047,C8083
A3606,B8870,C5611
A3606,B93,C4939
A3609,B2175,C9405
A3609,B2500,C738
A3609,B3616,C737
A361,B7104,C336
A3610,B3651,C2180
A3610,B9809,C3935
A3612,B8706,C3441
A3614,B3546,C4664
A3616,B1456,C6978
A3617,B1379,C7682
A3618,B3430,C8886
A3619,B5510,C7365
A362,B6397,C4352
A362,B6955,C2311
A3621,B4072,C179
A3621,B5706,C424
A3621,B9048,C9977
A3622,B3658,C1789
A3622,B5617,C591
A3625,B3786,C4974
A3625,B6037,C9999
A3625,B8466,C8608
A3628,B9064,C339
A363,B6106,C2225
A363,B8436,C441
A3630,B2660,C5061
A3630,B5393,C3858
A3630,B8539,C9202
A3634,B2970,C8507
A3635,B1356,C9219
A3635,B9880,C966
A3636,B1881,C3800
A3636,B3183,C1046
A3636,B4701,C7881
A3636,B648,C2411
A3636,B8833,C6440
A3639,B5450,C9229
A3639,B6340,C8782
A3639,B7509,C6787
A3639,B9637,C2493
A364,B2154,C409
A364,B825,C4348
A3640,B446,C5259
A3640,B5371,C533
A3643,B678,C7320
A3643,B9469,C9704
A3645,B6788,C9736
A3646,B1112,C6186
A3647,B2134,C8160
A365,B1527,C3920
A3650,B3930,C7758
A3650,B5794,C8049
A3651,B7771,C1015
A3652,B389,C6776
A3652,B4175,C1245
A3652,B7435,C7251
A3652,B8601,C7380
A3653,B9475,C1146
A3655,B3631,C7595
A3655,B3980,C6288
A3655,B7885,C1174
A3656,B1316,C1249
A3657,B1606,C2733
A3657,B1698,C6507
A3657,B5667,C5847
A3659,B3811,C562
A3659,B6848,C4977
A3659,B8043,C8923
A366,B6159,C778
A366,B6557,C7044
A366,B6742,C7285
A3662,B3649,C138
A3662,B6426,C4648
A3662,B6574,C9198
A3662,B6630,C57
A3664,B1951,C9151
A3665,B1430,C7137
A3666,B5363,C1365
A3666,B6966,C7913
A3667,B1987,C3302
A3667,B6936,C1486
A3668,B3599,C8571
A3669,B2431,C4215
A3669,B3988,C816
A367,B3295,C9470
A3670,B1213,C2171
A3670,B3513,C5193
A3674,B2826,C275
A3674,B8995,C5303
A3675,B5286,C8397
A3679,B3146,C5016
A3679,B4950,C3617
A3682,B2272,C7202
A3682,B61,C2699
A3684,B727,C2929
A3685,B9475,C7281
A3686,B1350,C3242
A3686,B4876,C4802
A3687,B619,C8935
A3688,B1600,C394
A3688,B4621,C3980
A3688,B7890,C138
A3688,B997,C4931
A3689,B1924,C5353
A369,B3776,C9770
A3690,B3398,C4808
A3690,B7658,C2249
A3691,B258,C6585
A3691,B805,C173
A3692,B6636,C4267
A3694,B1341,C8312
A3696,B9250,C8564
A3698,B4492,C7945
A3699,B4371,C3713
A3699,B5853,C7566
A370,B7506,C4672
A3700,B7239,C6735
A3701,B705,C6646
A3701,B7117,C7857
A3701,B9793,C4471
A3702,B1602,C5628
A3702,B2108,C7365
A3702,B5794,C2977
A3702,B8405,C6021
A3704,B1289,C3700
A3704,B5350,C616
A3705,B1290,C6359
A3705,B7418,C2868
A3707,B9133,C2393
A3708,B9864,C5058
A3710,B5737,C7700
A3711,B7247,C1311
A3713,B3059,C1155
A3714,B670,C6724
A3716,B8742,C4744
A3717,B5859,C3238
A3719,B2702,C5287
A3719,B4497,C2824
A372,B2515,C491
A3720,B193,C8543
A3721,B3388,C7181
A3721,B852,C2043
A3723,B3315,C6051
A3725,B923,C4827
A3726,B4079,C6202
A3727,B3348,C3685
A3728,B4788,C8227
A3729,B4831,C7799
A373,B3638,C8349
A3730,B2366,C9620
A3730,B6753,C1935
A3730,B6922,C5542
A3731,B1896,C7301
A3731,B9098,C2768
A3732,B464,C7966
A3733,B75,C3810
A3733,B9311,C9161
A3735,B8452,C5473
A3735,B9291,C8266
A3736,B1066,C7766
A3736,B5561,C869
A374,B1033,C1251
A374,B3453,C4763
A374,B8306,C8028
A3740,B3407,C810
A3740,B8958,C341
A3740,B9729,C7916
A3741,B8862,C4477
A3743,B7771,C2612
A3744,B2468,C8965
A3744,B8095,C3029
A3746,B9731,C6741
A3747,B6602,C8460
A3748,B3705,C952
A3748,B5301,C858
A375,B1422,C1639
A3750,B1126,C2102
A3750,B8008,C859
A3751,B2281,C3121
A3751,B6258,C7209
A3752,B2199,C4192
A3752,B4703,C6741
A3754,B7520,C8781
A3754,B9307,C697
A3756,B5151,C285
A3756,B7481,C6140
A3756,B8911,C9725
A3757,B5495,C8879
A3757,B7705,C2878
A376,B7452,C4950
A376,B7504,C6413
A3761,B6399,C1407
A3761,B7961,C2346
A3762,B5820,C997
A3763,B9266,C1249
A3765,B1781,C3610
A3765,B8622,C7983
A377,B3253,C2345
A3770,B3893,C8159
A3770,B4215,C4164
A3770,B4618,C4708
A3770,B4688,C4343
A3773,B5126,C2157
A3774,B8919,C9783
A3778,B5630,C3139
A3780,B2301,C9789
A3783,B6913,C7461
A3786,B8336,C6696
A3787,B8752,C2630
A3789,B4349,C2448
A3789,B927,C2782
A379,B6802,C1342
A3792,B2763,C2859
A3794,B4986,C3155
A3795,B313,C4593
A3795,B9360,C7596
A3797,B71,C74
A3799,B1973,C4958
A3799,B8966,C1217
A380,B1052,C9670
A380,B5106,C2673
A3800,B318,C350
A3802,B2628,C2179
A3803,B8801,C2184
A3805,B8083,C3585
A3810,B5477,C1452
A3812,B5218,C810
A3812,B6699,C6455
A3813,B2407,C9390
A3813,B3465,C750
A3814,B1879,C350
A3814,B6691,C5360
A3816,B7842,C1921
A3817,B3351,C8613
A3817,B9486,C3829
A3817,B9665,C6284
A3818,B2934,C4520
A3820,B7329,C3614
A3822,B6045,C1118
A3823,B8545,C2474
A3825,B593,C4254
A3825,B7001,C4878
A3826,B6611,C1214
A3827,B6188,C4919
A3828,B4007,C109
A3828,B5763,C9007
A3828,B5985,C4135
A383,B9192,C6111
A3830,B6403,C4977
A3831,B3853,C641
A3831,B4473,C3504
A3831,B6714,C2120
A3831,B9204,C3195
A3833,B5193,C9224
A3834,B4125,C3618
A3834,B8041,C4467
A3836,B7766,C4580
A3837,B5689,C804
A3837,B9770,C3854
A3838,B6739,C857
A3839,B3800,C4307
A3839,B5511,C1452
A384,B330,C5058
A384,B7199,C2369
A3840,B3242,C4298
A3841,B640,C7282
A3841,B7538,C5583
A3844,B6333,C8755
A3846,B4,C9500
A3847,B3534,C9632
A3847,B9493,C6141
A385,B3118,C7082
A3850,B9436,C9965
A3850,B9858,C7192
A3851,B3928,C5873
A3851,B5513,C2644
A3851,B9255,C8054
A3852,B9820,C300
A3854,B6119,C7303
A3856,B9353,C1095
A3857,B6957,C2848
A386,B3355,C6920
A3861,B1717,C4157
A3862,B2144,C616
A3864,B863,C4347
A3865,B2414,C8436
A3865,B988,C7166
A3867,B588,C5664
A3868,B5898,C179
A3869,B3929,C9232
A3869,B7208,C5422
A3869,B9245,C6085
A3870,B4401,C8110
A3870,B8288,C2063
A3870,B8322,C8255
A3871,B3105,C8555
A3871,B7197,C7299
A3872,B1951,C5827
A3872,B2022,C1768
A3872,B5243,C2211
A3873,B4076,C1693
A3873,B8642,C6522
A3873,B8849,C1445
A3875,B1226,C7869
A3876,B5247,C911
A3876,B7494,C2379
A3878,B4504,C3747
A3878,B8671,C9275
A388,B8984,C9498
A3880,B6051,C616
A3881,B8878,C1740
A3884,B6620,C227
A3885,B1617,C6680
A3885,B6478,C8561
A3886,B1321,C1092
A3886,B5291,C9793
A3886,B7049,C9461
A3888,B7593,C1051
A389,B3538,C8078
A389,B9269,C8601
A3890,B923,C7218
A3893,B4565,C8100
A3893,B6061,C5473
A3895,B1591,C3157
A3898,B5669,C3237
A390,B1782,C1886
A390,B2422,C4367
A3901,B1470,C1047
A3901,B7275,C7390
A3902,B1356,C3550
A3902,B4333,C7359
A3902,B9901,C9679
A3905,B3832,C4501
A3906,B1665,C273
A3906,B9246,C9942
A3909,B332,C9688
A3909,B6322,C3541
A3909,B9421,C4578
A391,B4628,C8462
A391,B5837,C1792
A391,B6969,C3859
A391,B8513,C4106
A3911,B7211,C5288
A3911,B874,C8799
A3912,B398,C5637
A3913,B2476,C1120
A3913,B4437,C2583
A3914,B6360,C8897
A3914,B9305,C5486
A3916,B7407,C5528
A3917,B9259,C8313
A3919,B6158,C4404
A3920,B9702,C522
A3921,B5777,C2170
A3922,B7749,C8707
A3922,B8792,C4708
A3923,B6906,C5353
A3929,B518,C8798
A3929,B9748,C8054
A393,B3043,C8143
A393,B4659,C4928
A393,B5005,C8716
A393,B5538,C422
A3930,B1758,C282
A3930,B2173,C739
A3930,B8841,C1772
A3931,B7020,C3608
A3932,B1740,C1425
A3932,B4969,C327
A3932,B9916,C1661
A3932,B9971,C358
A3933,B1928,C2991
A3934,B2075,C1273
A3935,B3305,C5605
A3936,B8314,C4097
A3936,B8799,C8779
A3938,B51,C4615
A3939,B5693,C6612
A3939,B7071,C5606
A3940,B4204,C7179
A3941,B8243,C7028
A3943,B595,C6607
A3944,B4309,C4691
A3945,B5576,C5982
A3947,B3678,C8680
A3948,B2203,C5708
A3949,B5398,C6971
A3951,B8944,C453
A3952,B8370,C2208
A3956,B126,C939
A3956,B6686,C6873
A3956,B7978,C4833
A3957,B8840,C7304
A3958,B3762,C3640
A3959,B1474,C9401
A3961,B8283,C7494
A3961,B9897,C8815
A3963,B3942,C3956
A3966,B3068,C3859
A3966,B4473,C478
A3966,B5825,C5739
A3966,B8450,C4025
A3967,B60,C4217
A397,B2376,C5843
A3970,B5516,C9320
A3974,B2892,C4603
A3976,B299,C99
A3977,B7000,C9560
A3977,B8103,C6211
A3978,B8789,C2495
A3979,B8610,C3236
A398,B3622,C5958
A3981,B3777,C6719
A3983,B2777,C2543
A3983,B323,C5790
A3983,B4625,C219
A3983,B9184,C3257
A3985,B2637,C3496
A3985,B8100,C3049
A3985,B8702,C3903
A399,B4230,C2602
A3990,B6451,C8808
A3991,B269,C7115
A3992,B7030,C5195
A3993,B8634,C5249
A3997,B9477,C3484
A40,B3048,C7444
A400,B1474,C5752
A4000,B2033,C8095
A4002,B2625,C9887
A4002,B5372,C3755
A4002,B8430,C7760
A4002,B8986,C8399
A4006,B8376,C2729
A4008,B7928,C5963
A4009,B1243,C9937
A401,B1410,C1510
A401,B5411,C5749
A4011,B2277,C9576
A4012,B1351,C7063
A4012,B4256,C9770
A4013,B2465,C4298
A4013,B4947,C6918
A4016,B27,C4444
A4016,B6100,C7290
A4016,B931,C3310
A4017,B6241,C3512
A4017,B6279,C8876
A4018,B3637,C8037
A4019,B6219,C999
A402,B8984,C373
A4022,B3050,C8032
A4023,B1319,C1953
A4023,B5231,C4967
A4024,B3067,C8812
A4024,B4758,C4152
A4024,B6913,C4101
A4025,B9128,C1341
A4028,B7534,C2782
A4029,B1224,C8227
A4029,B975,C6338
A403,B5105,C8686
A4030,B1615,C4761
A4030,B7537,C270
A4032,B169,C2394
A4037,B4042,C6819
A4038,B134,C720
A4038,B1765,C8334
A4039,B2807,C8679
A4041,B1336,C1113
A4043,B2547,C1407
A4043,B6142,C8452
A4044,B6058,C6547
A4044,B7887,C3711
A4046,B6249,C484
A4047,B4084,C2963
A4047,B8826,C2775
A4050,B2939,C7633
A4052,B4288,C3397
A4053,B1625,C4193
A4055,B7938,C9280
A4055,B8485,C467
A4056,B5243,C309
A4057,B2674,C1239
A4057,B3190,C3499
A4057,B4399,C4555
A4057,B4749,C6033
A4058,B571,C8043
A4059,B8551,C3621
A4060,B1037,C3530
A4060,B1038,C1670
A4060,B9079,C4655
A4063,B5346,C7719
A4063,B6502,C9432
A4063,B691,C7583
A4064,B453,C2473
A4065,B3092,C2208
A4065,B4123,C7227
A4065,B6933,C430
A4067,B9704,C8797
A4068,B3261,C2617
A4069,B1764,C5841
A4069,B8321,C2840
A4069,B8576,C630
A4070,B398,C1419
A4073,B6003,C6333
A4074,B4680,C3018
A4075,B512,C1252
A4077,B9438,C1395
A4078,B588,C9952
A4078,B8674,C3011
A4079,B650,C933
A408,B3687,C7276
A4080,B6856,C5167
A4081,B7373,C1076
A4083,B9788,C5134
A4084,B1627,C9233
A4085,B1538,C1745
A4085,B3195,C8380
A4086,B1116,C3086
A4086,B2255,C5433
A4088,B2692,C3257
A4089,B6379,C5191
A409,B736,C1951
A4092,B3303,C6762
A4094,B3198,C6264
A4095,B2519,C4903
A4096,B8286,C8160
A4097,B2421,C1500
A4097,B5814,C2256
A4098,B7604,C4064
A4099,B5235,C4987
A4099,B958,C6698
A4101,B9285,C9595
A4101,B936,C5459
A4104,B3985,C6371
A4105,B7857,C5441
A4107,B1969,C2522
A4107,B2912,C8724
A4107,B7039,C4355
A4108,B1056,C7698
A4108,B7752,C1647
A4108,B8037,C9251
A411,B3505,C8636
A411,B7380,C9903
A411,B9890,C6140
A4110,B2826,C920
A4112,B4066,C1982
A4112,B6834,C1893
A4113,B3232,C9941
A4114,B1043,C9407
A4114,B1699,C8075
A4116,B4887,C2657
A4117,B3822,C4340
A4120,B1703,C7707
A4120,B6950,C2954
A4121,B1703,C8147
A4121,B2375,C2950
A4123,B2075,C5419
A4126,B1517,C139
A413,B119,C4134
A413,B6749,C5949
A4130,B1429,C1705
A4130,B8313,C344
A4132,B5245,C108
A4132,B8027,C4296
A4134,B8336,C7745
A4136,B7201,C2049
A4136,B8432,C3539
A4137,B3443,C350
A4137,B6705,C4829
A4137,B7630,C887
A4138,B528,C3681
A4139,B9118,C5265
A4141,B4126,C2950
A4141,B8666,C9067
A4143,B5826,C3487
A4144,B8333,C9995
A4145,B4891,C6475
A4145,B9806,C2878
A4146,B3423,C6952
A4146,B7244,C2079
A4146,B817,C4699
A4147,B1243,C7786
A4149,B4926,C9115
A4149,B52,C3050
A4150,B8597,C7270
A4155,B3275,C9127
A4155,B5030,C9794
A4155,B8888,C7993
A4157,B7502,C1207
A4159,B2149,C3535
A4159,B5738,C2243
A4160,B4078,C3781
A4161,B1198,C5549
A4161,B6104,C4480
A4164,B9145,C2836
A4165,B401,C3080
A4165,B8500,C553
A4165,B9024,C7085
A4166,B2151,C1624
A4166,B7351,C9433
A4167,B1273,C961
A417,B7913,C3894
A417,B8264,C8524
A4170,B2460,C8240
A4170,B3215,C8460
A4170,B3605,C5774
A4170,B3686,C8427
A4173,B4877,C1601
A4174,B1113,C4277
A4174,B3354,C5037
A4175,B476,C3466
A4175,B5662,C5799
A4176,B7617,C8153
A4177,B1421,C914
A4177,B200,C5383
A4177,B4047,C967
A4178,B7859,C3344
A4178,B7862,C6398
A4178,B9086,C9891
A418,B2291,C760
A4180,B7,C2685
A4180,B7998,C1199
A4181,B969,C203
A4186,B2408,C543
A4186,B936,C1677
A4187,B3016,C2916
A4189,B2360,C4097
A4189,B6318,C6212
A419,B9647,C9039
A4192,B1370,C83
A4192,B8401,C3181
A4192,B9033,C4362
A4193,B3293,C4499
A4195,B4683,C1446
A4196,B2377,C2694
A4196,B4259,C272
A4197,B736,C6029
A4198,B4702,C3576
A4198,B5177,C6114
A4198,B8936,C5591
A42,B2018,C1824
A42,B4382,C299
A42,B5734,C4065
A420,B6412,C8692
A4203,B6857,C7691
A4203,B9985,C2455
A4204,B505,C5555
A4204,B7988,C5061
A4204,B9726,C5939
A4205,B2550,C9259
A4205,B8739,C6482
A4207,B3616,C5053
A4207,B7816,C4123
A4207,B9707,C6290
A4208,B209,C448
A4208,B3260,C497
A4208,B4339,C5716
A421,B8594,C778
A4210,B4564,C3360
A4210,B7539,C9978
A4213,B4154,C7382
A4213,B5904,C2796
A4214,B5578,C1153
A4214,B7166,C7811
A4215,B4569,C1009
A4215,B9818,C2618
A4216,B3019,C8941
A4216,B448,C2357
A4217,B8411,C7504
A4218,B5292,C2864
A4218,B6505,C5773
A4222,B9053,C60
A4224,B1922,C9533
A4225,B1990,C3259
A4226,B9398,C9334
A4226,B9588,C2376
A4227,B7818,C4696
A4228,B4169,C1019
A4228,B4810,C2683
A423,B2908,C6612
A4230,B4295,C9216
A4232,B8916,C1192
A4233,B7474,C9006
A4233,B9729,C4789
A4234,B5313,C7725
A4235,B6484,C9626
A4236,B136,C8876
A4238,B3263,C824
A424,B1921,C2480
A424,B9520,C1684
A4249,B1637,C3245
A425,B9771,C7388
A4250,B5443,C2152
A4250,B7613,C7339
A4254,B2722,C1573
A4254,B5529,C1611
A4254,B700,C7684
A4257,B7327,C6829
A4258,B7389,C2441
A4259,B6215,C7559
A4260,B8917,C4840
A4261,B4903,C2756
A4261,B5687,C1581
A4263,B8024,C8485
A4264,B8600,C5562
A4265,B5242,C4007
A4266,B4878,C7043
A4267,B2821,C6766
A427,B3173,C6360
A427,B8696,C2005
A4270,B86,C6522
A4271,B177,C5685
A4271,B9969,C8124
A4272,B4835,C9503
A4275,B1508,C4741
A4277,B4815,C3196
A4277,B6576,C7461
A428,B469,C7695
A4280,B1859,C7540
A4281,B9792,C2685
A4283,B3748,C2548
A4284,B6786,C3932
A4285,B6105,C1549
A4285,B9595,C1496
A4287,B1432,C1163
A4288,B9212,C8940
A4289,B9347,C6544
A4290,B8925,C902
A4291,B3117,C1668
A4291,B4700,C2778
A4291,B8637,C1912
A4295,B6943,C8977
A4297,B1336,C4022
A4297,B7827,C882
A43,B2379,C2068
A43,B7181,C6018
A430,B1402,C9981
A4300,B5913,C4022
A4303,B7964,C8900
A4304,B7108,C7873
A4305,B9305,C3672
A4305,B9993,C1443
A4307,B1259,C3267
A4309,B8180,C3281
A431,B102,C2420
A431,B3793,C2011
A4310,B1625,C4481
A4310,B8570,C4562
A4311,B3396,C4465
A4312,B6950,C3599
A4312,B7202,C5400
A4312,B7780,C7971
A4313,B1623,C8327
A4316,B4103,C2284
A4318,B1154,C2679
A4318,B4480,C8182
A4318,B5055,C158
A4318,B8345,C1180
A4320,B405,C530
A4321,B7662,C4014
A4323,B7779,C2582
A4324,B8470,C9190
A4326,B7005,C8832
A4326,B8052,C1684
A433,B2184,C2279
A433,B7699,C5646
A4331,B5484,C6238
A4331,B9382,C7330
A4333,B1885,C6508
A4334,B1569,C584
